n_gram,freq
of the,430597
in the,411665
to the,150000
for the,201128
on the,196500
to be,162011
at the,142776
and the,126101
in a,119975
with the,105993
is a,101009
it was,96447
for a,94137
from the,87290
i have,86473
i was,86106
it is,82295
and i,82122
with a,81892
will be,81167
going to,79909
of a,79317
i am,77084
is the,73880
have a,73612
if you,73389
one of,72777
to get,70661
as a,69203
want to,64061
have to,61658
by the,61588
that the,60849
this is,59684
i think,58769
to do,58618
and a,58340
the first,57114
was a,56670
i don't,56427
out of,56115
to a,55963
that i,54303
to see,54098
on a,53521
but i,51430
all the,51378
i love,50744
the same,49625
to make,48352
you can,48227
have been,47856
a lot,47692
be a,47027
he was,45837
thanks for,44994
of my,44671
need to,44546
has been,44072
would be,43750
you are,43718
a few,43690
more than,42881
in my,42383
as the,42120
about the,42087
when i,42052
you have,41189
to go,41035
i can,40872
a little,40841
a great,40797
i had,40587
the best,39995
to have,39812
thank you,39595
he said,39313
a good,39301
i know,39221
into the,38492
had a,38376
we are,38353
they are,38096
i just,36930
there is,36737
is not,35170
that is,35149
the new,33758
a new,33458
there are,33383
so i,33370
the world,33315
the most,33228
over the,33050
we have,33048
i will,32835
like a,32508
part of,32468
do you,32349
so much,32159
lot of,31428
trying to,31346
but the,30935
was the,30919
i would,30714
on my,30186
at least,30120
all of,29932
and then,29608
as well,29300
back to,28960
the way,28934
are you,28902
some of,28537
you know,28478
able to,28432
if i,28115
can be,27774
the last,27670
of his,27645
at a,27628
it's a,27522
to me,27319
i want,27027
the other,26873
for me,26794
when you,26691
is that,26646
up to,26270
the time,26201
in this,26049
to take,25975
the next,25875
time to,25778
go to,25768
and it,25375
way to,25324
i can't,25279
that he,24826
right now,24738
said the,24715
according to,24523
he is,24309
kind of,24259
that was,24074
to my,23820
of this,23747
i could,23718
should be,23628
had to,23575
the only,23492
the end,23283
in his,23106
what i,23063
be the,23027
but it,22944
when the,22924
they were,22919
this year,22880
has a,22761
the day,22621
i'm not,22589
to say,22268
from a,22207
me to,22167
of course,22042
i got,21522
as i,21432
a bit,21285
i need,21230
with my,21158
would have,21146
i do,21086
of our,21083
get a,21074
that you,21025
and that,20965
how to,20805
through the,20690
that it,20582
like the,20470
after the,20159
wanted to,19946
she was,19919
which is,19912
it to,19867
not a,19779
are the,19740
like to,19689
to work,19656
that we,19596
new york,19516
have the,19458
i didn't,19456
for you,19439
said he,19320
and we,19147
it would,19127
i hope,19080
into a,19075
the state,19032
of them,18903
the city,18880
this week,18788
of their,18755
is to,18675
last year,18638
we can,18588
end of,18515
up the,18492
during the,18480
there was,18476
by a,18366
out the,18347
to find,18343
i feel,18245
don't know,18214
i thought,18087
to help,18071
it will,18023
it's not,17989
for my,17978
to keep,17966
you want,17840
up with,17813
such as,17797
that they,17782
we were,17751
you don't,17720
such a,17604
most of,17452
did not,17372
to you,17334
love you,17295
of it,17282
he has,17248
because of,17140
of your,17105
when he,17068
they have,17048
what you,17026
not to,16998
if the,16994
i like,16971
and he,16930
could be,16883
off the,16822
she said,16801
i did,16780
and his,16769
in your,16740
had been,16740
you to,16737
up and,16669
can't wait,16649
make it,16552
and you,16550
forward to,16500
the game,16483
do it,16398
what is,16374
i get,16325
the past,16325
a very,16321
used to,16297
to come,16219
in an,16205
a big,16153
out to,16020
do not,16006
around the,15998
me and,15980
the right,15945
a couple,15845
know what,15840
make a,15817
last night,15697
just a,15676
and they,15627
and other,15563
of those,15551
about it,15519
try to,15505
i really,15486
in their,15330
it and,15253
to know,15181
is in,15166
look at,15141
you will,15134
it has,15128
in and,15086
is an,15086
a year,15034
because i,15023
is it,14999
he had,14996
my life,14950
get to,14895
are not,14837
see the,14817
see you,14769
the second,14759
to give,14720
looking for,14717
got a,14716
of all,14690
people who,14646
been a,14626
for this,14585
who is,14544
well as,14467
of you,14359
not the,14299
i've been,14289
is going,14244
get the,14199
may be,14117
in our,14105
the top,14064
and in,14032
up in,14024
high school,13988
a long,13926
to play,13902
take a,13876
the rest,13866
don't have,13856
did you,13814
so many,13805
before the,13801
years ago,13769
on this,13687
no one,13661
of her,13656
be in,13594
at all,13590
that would,13579
is so,13548
know that,13545
we had,13538
it in,13520
was in,13478
the one,13463
are a,13463
of us,13438
the house,13420
the u_s,13399
to use,13377
you for,13288
of that,13273
you get,13253
let me,13217
number of,13213
for your,13204
be able,13180
you and,13161
me i,13135
was not,13112
if they,13103
on your,13050
we will,13002
them to,12994
not be,12941
those who,12907
and my,12877
she is,12856
with you,12823
feel like,12821
what the,12791
when it,12781
to all,12711
you think,12705
for all,12698
and to,12681
than the,12633
follow me,12572
last week,12556
i hate,12538
ready to,12527
lots of,12494
on his,12490
to hear,12485
to start,12471
time i,12445
enough to,12428
when they,12406
of these,12403
instead of,12350
after a,12324
went to,12319
you do,12316
the whole,12288
couple of,12247
is no,12165
first time,12148
check out,12145
and not,12105
the people,12071
how much,12045
is one,12036
love to,12018
this morning,12005
back in,11962
to his,11955
come to,11933
me a,11917
what a,11902
does not,11888
with his,11879
the two,11854
down the,11846
out there,11823
i guess,11810
who are,11802
up for,11786
the year,11781
in that,11775
so far,11768
and is,11764
now i,11722
rest of,11703
of an,11645
but he,11636
i wish,11624
too much,11623
hard to,11619
to your,11587
about a,11535
looking forward,11521
when we,11504
as it,11502
might be,11498
you need,11489
wait to,11437
will have,11436
hope you,11425
with me,11421
if it,11388
away from,11364
to this,11356
against the,11316
as an,11293
i'm going,11229
said that,11228
that are,11204
it all,11186
up on,11130
for an,11122
than a,11112
got to,11076
it i,11042
out and,11037
you guys,11032
the fact,11022
the company,11019
where the,10972
for his,10962
is my,10950
that will,10928
to win,10925
under the,10924
decided to,10909
a day,10886
about to,10876
if you're,10875
it out,10864
him to,10844
many of,10819
time for,10809
having a,10797
and i'm,10794
thanks to,10791
that a,10776
we need,10774
you should,10758
to put,10732
this was,10719
of people,10692
wants to,10683
this time,10681
and more,10680
who was,10659
this weekend,10658
their own,10656
across the,10600
or the,10595
think i,10557
have you,10533
up a,10515
my favorite,10496
make sure,10483
make the,10481
of what,10441
love the,10409
as much,10377
must be,10368
but it's,10350
like that,10329
not only,10328
along with,10310
each other,10277
there were,10263
the big,10258
or a,10256
and was,10238
with an,10237
as they,10226
for some,10218
if we,10200
a small,10181
in which,10168
said it,10134
is just,10125
said i,10095
of its,10083
and all,10082
to watch,10079
who has,10055
that she,10053
based on,10051
but not,10046
and it's,10040
a week,10040
to our,10032
i'll be,10020
as he,9992
have no,9988
the book,9980
the country,9969
need a,9952
don't want,9915
at this,9915
there's a,9912
i see,9900
with her,9895
fact that,9890
so that,9882
you can't,9863
in her,9838
you were,9834
needs to,9822
talking about,9794
on their,9794
get it,9792
ready for,9779
and have,9775
a man,9764
looks like,9757
had the,9743
to try,9728
to meet,9724
can do,9708
know how,9703
as we,9694
st louis,9671
it up,9663
it's the,9663
for more,9662
then i,9629
i still,9624
the story,9612
better than,9600
is on,9595
percent of,9588
is still,9534
i wanted,9506
it a,9506
for that,9501
going on,9485
say that,9484
don't think,9478
the team,9438
but they,9428
for it,9425
what they,9417
working on,9413
even though,9394
the show,9394
to her,9393
i saw,9376
has to,9375
what we,9375
are in,9367
the season,9366
my own,9349
in fact,9326
love it,9325
like it,9316
even if,9299
they can,9285
for our,9254
that has,9242
was just,9239
tried to,9238
can you,9212
down to,9182
i should,9181
a while,9158
do i,9146
but we,9063
like this,9060
if he,9054
i'm a,9044
and get,9024
to look,9019
the case,9019
could have,9017
this one,9002
in new,8996
and if,8992
to it,8987
time and,8986
as you,8973
day of,8957
to pay,8928
on it,8928
happy birthday,8915
due to,8902
for her,8879
i miss,8846
and now,8846
because the,8842
is what,8829
to tell,8825
and she,8817
think of,8814
and so,8806
chance to,8793
will not,8790
was so,8782
bit of,8772
rather than,8765
on to,8717
not sure,8713
front of,8710
since the,8703
because it,8689
the middle,8687
with your,8674
talk about,8664
less than,8634
wish i,8630
listening to,8627
that this,8624
with this,8618
to talk,8613
and for,8613
us to,8601
at home,8580
you like,8575
for their,8564
he would,8557
so we,8549
is now,8545
they will,8540
it on,8532
should have,8527
from my,8526
i used,8521
how many,8521
but you,8518
to an,8518
you could,8513
the united,8504
but i'm,8496
for us,8463
is also,8456
on twitter,8450
the follow,8449
i went,8445
like i,8430
can get,8425
to their,8416
good morning,8413
a way,8401
being a,8389
new jersey,8380
have an,8379
and her,8359
out in,8343
are so,8330
to think,8317
and how,8314
who have,8310
people are,8301
all i,8290
on that,8290
the future,8284
and their,8267
i mean,8258
out for,8256
with it,8254
just got,8241
side of,8232
