n_gram,freq
the,1000000
to,2754767
and,2416305
a,2382672
of,2005552
i,1653636
in,1646294
for,1099572
is,1075379
that,1042086
you,941795
it,917449
on,818185
with,714737
was,624615
my,604518
at,571063
be,548274
this,545000
have,530641
are,491346
but,485166
as,481911
he,430318
we,419025
not,410568
from,384330
so,382954
me,369322
all,331217
they,322318
will,315520
by,314113
or,313545
said,305169
just,304810
your,302365
his,301753
an,299016
about,296064
out,295864
up,292559
one,289902
if,279833
what,278368
like,270145
when,265213
has,260174
who,249851
can,246710
more,243699
do,241423
had,232430
it's,230792
get,226680
i'm,217457
time,215269
there,211869
her,209114
would,205178
their,204662
some,201888
no,200099
she,196994
new,194410
been,188002
our,186149
now,179936
good,179325
were,177978
how,175673
day,168641
know,163451
don't,162507
them,161799
love,160680
people,158965
which,144481
back,141844
than,140427
go,140025
see,139027
first,134780
into,133078
after,132893
make,130438
also,130407
its,128227
only,126934
other,126931
going,126664
think,126373
last,124818
over,124663
then,123859
great,123566
him,121022
because,120318
much,120040
us,118931
too,115508
two,114948
really,114437
year,113275
way,112066
could,111937
today,110878
well,109471
even,108448
got,108443
want,107444
work,105807
did,104514
still,102584
right,102453
here,98993
thanks,98719
off,97929
need,97748
where,97692
am,95824
very,94610
years,93211
most,93095
any,93056
before,89555
rt,89397
many,89121
down,88878
those,88802
life,88677
say,86839
should,86045
take,85745
being,85027
these,84077
come,83630
made,83170
that's,82965
little,82928
never,81795
home,81053
may,79537
best,78299
while,78244
u,78132
can't,78057
through,77422
next,76959
why,76723
week,76565
night,76100
things,74442
lol,72974
school,72699
something,71527
game,70547
always,68013
happy,66926
better,66868
around,66809
another,66790
every,65415
state,65321
didn't,65281
world,64754
look,64383
i've,64366
show,64263
you're,63613
big,62111
long,61499
again,60154
man,59669
since,59457
few,59283
same,59147
feel,58288
city,57911
such,57082
help,56763
hope,56720
sure,56583
three,56504
thing,56212
follow,55678
find,55104
use,54966
own,54126
getting,53753
lot,53483
days,53233
keep,52849
does,52309
says,52283
ever,52281
both,51950
house,51400
place,51079
tonight,50790
put,50434
family,50422
team,50395
each,50352
until,50212
part,49927
let,49570
give,49499
looking,49333
though,49041
thank,48886
doing,48140
play,47796
end,47696
old,47240
away,46857
might,46231
i'll,46104
morning,45937
book,45720
oh,45405
used,45266
everyone,45241
start,45050
he's,44659
yes,44474
thought,44442
free,44358
during,44336
high,43873
done,43708
season,43477
went,43471
left,43137
friends,42771
without,42747
found,42524
fun,42473
please,42130
call,42121
someone,41926
money,41513
doesn't,41459
having,41456
god,41308
we're,41263
tell,41181
enough,40764
against,40706
told,40649
live,40395
bad,40340
times,40138
came,39763
yet,39700
hard,39665
between,39620
making,39487
pretty,39116
already,38941
real,38744
music,38703
working,38183
wait,38059
million,37962
try,37777
percent,37517
set,37370
coming,37362
read,37246
job,37219
food,37121
must,36951
once,36938
trying,36900
second,36874
nice,36805
makes,36611
took,36421
there's,36416
run,36132
called,35873
point,35807
weekend,35655
top,35563
public,35529
actually,35414
story,35344
under,34964
everything,34948
police,34947
different,34796
least,34496
stop,34463
soon,34391
tomorrow,34367
far,34300
s,34263
business,34232
nothing,34207
twitter,34136
anything,34113
friday,34044
maybe,33900
win,33601
kids,33590
county,33533
open,33421
head,33089
name,32974
room,32842
four,32817
later,32693
together,32674
person,32449
started,32401
check,32171
early,32120
guys,31916
bit,31867
believe,31736
change,31564
ago,31562
im,31362
past,31334
wanted,31274
anyone,31246
talk,31147
children,31072
course,30878
kind,30859
small,30692
st,30623
white,30425
hey,30424
girl,30368
party,30339
care,30306
awesome,30094
company,30090
including,29986
ready,29885
less,29793
group,29779
myself,29771
saw,29651
post,29635
water,29551
minutes,29499
friend,29331
hit,29122
able,29064
news,28920
almost,28898
case,28843
center,28819
watch,28811
month,28807
amazing,28780
hours,28611
w,28605
support,28521
watching,28264
u_s,28094
full,28077
isn't,28066
i'd,28007
probably,27988
others,27986
haha,27921
miss,27651
games,27571
side,27483
seen,27381
office,27332
president,27217
along,27184
idea,27095
d,27078
hear,27053
true,27016
black,26907
yeah,26903
young,26850
they're,26821
months,26694
mean,26684
line,26578
forward,26551
heart,26537
mind,26521
asked,26511
remember,26410
whole,26410
students,26396
cool,26367
class,26285
using,26243
favorite,26199
wasn't,26189
five,26168
car,26166
taking,26052
playing,25984
face,25953
local,25918
half,25847
blog,25802
wish,25777
beautiful,25718
often,25636
plan,25555
what's,25521
comes,25518
several,25512
weeks,25429
number,25387
following,25348
however,25346
else,25280
p_m,25246
lost,25210
guy,25129
fact,25123
american,25109
law,25090
summer,25067
finally,25036
stay,25013
women,24984
national,24951
become,24916
saturday,24763
according,24692
movie,24570
late,24407
pay,24260
looks,24255
gonna,24139
area,24124
country,24005
health,23999
needs,23923
bring,23867
government,23863
sometimes,23776
monday,23735
hate,23706
sunday,23515
community,23508
power,23482
move,23398
won't,23372
street,23083
thinking,23014
excited,22971
couple,22949
birthday,22933
instead,22869
phone,22855
saying,22834
ask,22811
add,22797
red,22769
park,22749
word,22717
leave,22680
close,22674
special,22632
important,22512
baby,22511
list,22383
series,22367
stuff,22265
means,22230
former,22201
john,22193
program,22192
road,22190
words,22189
cut,22149
court,22043
service,21983
share,21953
outside,21926
seems,21855
heard,21788
men,21742
song,21707
running,21694
buy,21647
quite,21571
meet,21523
behind,21491
problem,21416
hot,21398
april,21393
talking,21367
whether,21322
project,21275
college,21268
either,21248
event,21226
experience,21206
enjoy,21120
let's,21108
hand,21107
reading,21027
deal,21000
board,20912
future,20898
books,20870
mom,20867
ok,20852
information,20822
wrong,20815
knew,20798
gets,20762
writing,20725
turn,20669
system,20564
question,20538
social,20484
tweet,20476
light,20458
history,20304
reason,20278
video,20265
feeling,20254
sorry,20174
york,20173
film,20159
rather,20138
university,20124
perfect,20047
woman,19984
goes,19915
members,19897
easy,19870
order,19863
sleep,19855
thursday,19713
rest,19641
shit,19600
art,19568
given,19558
beer,19553
gave,19482
meeting,19476
moment,19376
tuesday,19356
guess,19282
body,19253
across,19178
she's,19170
chance,19152
girls,19140
points,19137
san,19122
living,19088
market,19085
front,19081
especially,19050
matter,19022
bill,19017
south,18988
haven't,18947
parents,18878
needed,18821
fall,18752
played,18701
among,18697
eat,18670
felt,18661
green,18645
media,18632
mother,18611
third,18559
six,18542
final,18534
sweet,18514
coach,18490
decided,18398
child,18384
large,18368
short,18341
mr,18332
death,18320
fans,18294
building,18236
couldn't,18197
cause,18179
hour,18170
wants,18123
taken,18106
starting,18049
officials,17942
states,17878
glad,17853
welcome,17850
town,17742
lead,17737
north,17675
pick,17672
available,17654
spring,17634
learn,17552
